fast_speed_range,fast_max_speed,slow_total_profit,slow_win_rate,fast_total_profit,fast_win_rate,fast_miss_rate,slow_miss_rate,fast_avg_profit_per_bid,slow_avg_profit_per_bid,fast_avg_profit_per_win,slow_avg_profit_per_win
"(np.float64(0.0), np.float64(0.3))",0.3,2366.55433,0.31288,3652.23026,0.68712,0.0,0.0,0.01691,0.01096,0.12304,0.17509
"(np.float64(0.007), np.float64(0.307))",0.307,2366.86904,0.31244,3663.19751,0.68756,0.0,0.0,0.01696,0.01096,0.12333,0.17535
"(np.float64(0.014), np.float64(0.314))",0.314,2367.89551,0.31308,3656.1903,0.68692,0.0,0.0,0.01693,0.01096,0.12321,0.17508
"(np.float64(0.021), np.float64(0.321))",0.321,2372.13441,0.31381,3657.23544,0.68619,0.0,0.0,0.01693,0.01098,0.12337,0.17498
"(np.float64(0.028), np.float64(0.328))",0.328,2367.81999,0.31253,3659.71962,0.68747,0.0,0.0,0.01694,0.01096,0.12323,0.17538
"(np.float64(0.035), np.float64(0.335))",0.335,2357.52212,0.31255,3657.35342,0.68745,0.0,0.0,0.01693,0.01091,0.12315,0.17461
"(np.float64(0.042), np.float64(0.342))",0.342,2362.6463,0.31294,3662.51134,0.68706,0.0,0.0,0.01696,0.01094,0.1234,0.17476
"(np.float64(0.049), np.float64(0.349))",0.349,2359.77729,0.31195,3646.02327,0.68805,0.0,0.0,0.01688,0.01092,0.12266,0.17511
"(np.float64(0.057), np.float64(0.357))",0.357,2359.21242,0.31159,3668.3535,0.68841,0.0,0.0,0.01698,0.01092,0.12335,0.17527
"(np.float64(0.064), np.float64(0.364))",0.364,2379.72555,0.31462,3655.21286,0.68538,0.0,0.0,0.01692,0.01102,0.12345,0.17509
"(np.float64(0.071), np.float64(0.371))",0.371,2355.51425,0.31163,3659.17726,0.68837,0.0,0.0,0.01694,0.01091,0.12305,0.17497
"(np.float64(0.078), np.float64(0.378))",0.378,2366.46917,0.31302,3652.07858,0.68698,0.0,0.0,0.01691,0.01096,0.12306,0.175
"(np.float64(0.085), np.float64(0.385))",0.385,2364.54559,0.31336,3638.56716,0.68664,0.0,0.0,0.01685,0.01095,0.12266,0.17467
"(np.float64(0.092), np.float64(0.392))",0.392,2369.87165,0.31292,3650.50997,0.68708,0.0,0.0,0.0169,0.01097,0.12299,0.17531
"(np.float64(0.099), np.float64(0.399))",0.399,2371.5137,0.31371,3662.68832,0.68629,0.0,0.0,0.01696,0.01098,0.12354,0.17499
"(np.float64(0.106), np.float64(0.406))",0.406,2355.15952,0.31242,3663.19373,0.68758,0.0,0.0,0.01696,0.0109,0.12332,0.1745
"(np.float64(0.113), np.float64(0.413))",0.413,2366.01227,0.31331,3650.75181,0.68669,0.0,0.0,0.0169,0.01095,0.12307,0.17481
"(np.float64(0.12), np.float64(0.42))",0.42,2367.112,0.31362,3645.79383,0.68638,0.0,0.0,0.01688,0.01096,0.12295,0.17472
"(np.float64(0.127), np.float64(0.427))",0.427,2367.59365,0.31317,3657.40848,0.68683,0.0,0.0,0.01693,0.01096,0.12327,0.175
"(np.float64(0.134), np.float64(0.434))",0.434,2359.57132,0.31295,3648.87237,0.68705,0.0,0.0,0.01689,0.01092,0.12294,0.17453
"(np.float64(0.141), np.float64(0.441))",0.441,2358.34229,0.312,3662.64784,0.688,0.0,0.0,0.01696,0.01092,0.12323,0.17497
"(np.float64(0.148), np.float64(0.448))",0.448,2370.09174,0.31296,3662.62934,0.68704,0.0,0.0,0.01696,0.01097,0.1234,0.1753
"(np.float64(0.156), np.float64(0.456))",0.456,2358.75115,0.31242,3653.29871,0.68758,0.0,0.0,0.01691,0.01092,0.12299,0.17477
"(np.float64(0.163), np.float64(0.463))",0.463,2378.8441,0.31417,3641.01503,0.68583,0.0,0.0,0.01686,0.01101,0.12289,0.17528
"(np.float64(0.17), np.float64(0.47))",0.47,2357.67708,0.31254,3655.24648,0.68746,0.0,0.0,0.01692,0.01092,0.12308,0.17462
"(np.float64(0.177), np.float64(0.477))",0.477,2364.15962,0.31301,3654.60975,0.68699,0.0,0.0,0.01692,0.01095,0.12314,0.17484
"(np.float64(0.184), np.float64(0.484))",0.484,2378.90083,0.31517,3645.28518,0.68483,0.0,0.0,0.01688,0.01101,0.12322,0.17472
"(np.float64(0.191), np.float64(0.491))",0.491,2353.74883,0.31163,3662.30309,0.68837,0.0,0.0,0.01696,0.0109,0.12315,0.17484
"(np.float64(0.198), np.float64(0.498))",0.498,2373.24315,0.31354,3658.71088,0.68646,0.0,0.0,0.01694,0.01099,0.12338,0.17521
"(np.float64(0.205), np.float64(0.505))",0.505,2370.77551,0.31352,3650.66275,0.68648,0.0,0.0,0.0169,0.01098,0.1231,0.17504
"(np.float64(0.212), np.float64(0.512))",0.512,2372.73184,0.31444,3647.72433,0.68556,0.0,0.0,0.01689,0.01098,0.12317,0.17467
"(np.float64(0.219), np.float64(0.519))",0.519,2365.59184,0.31322,3668.36677,0.68678,0.0,0.0,0.01698,0.01095,0.12364,0.17483
"(np.float64(0.226), np.float64(0.526))",0.526,2365.53329,0.31243,3658.38323,0.68757,0.0,0.0,0.01694,0.01095,0.12316,0.17527
"(np.float64(0.233), np.float64(0.533))",0.533,2369.18324,0.31327,3659.88913,0.68673,0.0,0.0,0.01694,0.01097,0.12337,0.17506
"(np.float64(0.24), np.float64(0.54))",0.54,2347.88137,0.31147,3671.70061,0.68853,0.0,0.0,0.017,0.01087,0.12344,0.17449
"(np.float64(0.247), np.float64(0.547))",0.547,2383.26611,0.31458,3653.34229,0.68542,0.0,0.0,0.01691,0.01103,0.12338,0.17537
"(np.float64(0.255), np.float64(0.555))",0.555,2358.38512,0.31217,3662.46456,0.68783,0.0,0.0,0.01696,0.01092,0.12326,0.17488
"(np.float64(0.262), np.float64(0.562))",0.562,2365.98682,0.31364,3655.00144,0.68636,0.0,0.0,0.01692,0.01095,0.12327,0.17462
"(np.float64(0.269), np.float64(0.569))",0.569,2373.60827,0.31402,3654.34275,0.68598,0.0,0.0,0.01692,0.01099,0.12331,0.17497
"(np.float64(0.276), np.float64(0.576))",0.576,2366.658,0.31256,3663.35251,0.68744,0.0,0.0,0.01696,0.01096,0.12336,0.17527
"(np.float64(0.283), np.float64(0.583))",0.583,2351.04628,0.31157,3663.07658,0.68843,0.0,0.0,0.01696,0.01088,0.12317,0.17467
"(np.float64(0.29), np.float64(0.59))",0.59,2370.38691,0.31342,3663.40731,0.68658,0.0,0.0,0.01696,0.01097,0.12351,0.17507
"(np.float64(0.297), np.float64(0.597))",0.597,2371.5413,0.31406,3640.36254,0.68594,0.0,0.0,0.01685,0.01098,0.12285,0.17479
"(np.float64(0.304), np.float64(0.604))",0.604,2368.16913,0.31244,3657.98724,0.68756,0.0,0.0,0.01694,0.01096,0.12315,0.17545
"(np.float64(0.311), np.float64(0.611))",0.611,2372.21866,0.31367,3644.36578,0.68633,0.0,0.0,0.01687,0.01098,0.12292,0.17506
"(np.float64(0.318), np.float64(0.618))",0.618,2367.13238,0.3133,3646.41531,0.6867,0.0,0.0,0.01688,0.01096,0.12292,0.17489
